好	a
地	b
没	c
看	d
大	e
在	f
得	g
了	h
不	i
能	j
的	k
也	l
我	m
是	n
以	o
就	p
一	q
出	r
个	s
和	t
给	u
上	v
着	w
来	x
这	y
那	z
毒	aa
甸	ab
负	ac
妇	ad
姨	ae
麦	af
姓	ah
妙	ai
句	aj
如	ak
她	al
母	am
女	an
角	ao
嫁	ap
欠	aq
娅	ar
姐	at
素	au
久	av
色	aw
妹	ax
表	ay
娜	az
坎	ba
封	bb
坝	bc
寺	bd
堆	be
略	bf
址	bg
声	bh
坏	bi
去	bj
吉	bk
追	bl
胃	bm
坦	bn
男	bo
填	bp
塔	br
士	bs
土	bt
累	bu
款	bv
垣	bw
坪	bx
由	by
城	bz
购	ca
油	cb
测	cc
河	cd
溪	ce
汉	cf
流	cg
派	ch
沙	ci
卖	cj
激	ck
进	cl
湖	cm
汽	cn
江	co
汁	cp
渔	cq
满	cr
水	cs
海	ct
波	cu
浪	cv
洋	cw
汗	cx
滚	cy
则	cz
换	da
持	db
顶	dc
打	dd
推	de
拉	dg
扩	dh
挖	di
即	dj
可	dk
过	dl
才	dm
担	dn
热	do
搞	dp
捷	dq
搭	dr
手	ds
播	dt
指	du
灵	dv
把	dw
折	dx
于	dy
找	dz
妥	ea
奋	eb
贵	ec
夺	ed
奏	ee
非	ef
辈	eg
孚	eh
岛	ei
令	ej
合	ek
达	el
帮	em
鸟	en
今	eo
蛇	ep
韭	eq
爽	er
三	es
天	et
爱	eu
太	ev
乌	ew
集	ex
裴	ey
爪	ez
欢	fa
备	fb
硕	fc
对	fd
难	fe
双	ff
硫	fg
矿	fh
环	fi
面	fj
右	fk
存	fl
有	fm
百	fn
左	fo
碗	fp
硬	fq
弄	fr
石	fs
现	fu
处	fv
王	fw
条	fx
又	fy
戏	fz
软	ga
辅	gb
车	gc
很	gd
踩	ge
路	gf
行	gg
充	gh
步	gi
起	gj
部	gk
连	gl
产	gm
音	gn
盘	go
德	gp
亲	gq
赵	gr
轮	gs
御	gt
此	gu
往	gv
辆	gw
新	gx
旁	gy
走	gz
孢	ha
